text,sent48,sent9,sent8,sent15,sent3,sent2,sent1,sent14,sent7,sent6,sent5,sent4,sent57,sent56,sent55,sent54,sent53,sent52,sent51,sent50,sent13,sent12,sent11,sent10,sent17,sent16,sent59,sent58,sent93,sent92,sent91,sent90,sent97,sent96,sent95,sent94,sent98,sent22,sent23,sent20,sent21,sent26,sent27,sent24,sent25,sent28,sent29,sent68,sent69,sent66,sent67,sent64,sent65,sent62,sent63,sent60,sent61,sent31,sent30,sent33,sent32,sent35,sent34,sent37,sent36,sent39,sent38,sent79,sent78,sent75,sent74,sent77,sent76,sent71,sent70,sent73,sent72,sent19,sent49,sent18,sent44,sent45,sent84,sent85,sent86,sent87,sent80,sent81,sent82,sent83,sent40,sent41,sent42,sent43,sent88,sent89,sent46,sent47,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,testWords.thisRepN,testWords.thisTrialN,testWords.thisN,testWords.thisIndex,test1,test3,test2,test5,test4,test7,test6,test9,test8,test10,realTrials.thisRepN,realTrials.thisTrialN,realTrials.thisN,realTrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_8.keys,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,key_resp_6.rt,wordRead.keys,wordRead.rt,key_resp_5.keys,questAnswer.keys,questAnswer.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.16602683067,,,,,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,Bei,Dass,Die,Die,Sie,Mit,Manche,Es,Es,Man,Die,In,In,Die,Die,Wir,Er,Die,Im,Es,Wir,Bei,Die,Wir,Sie,Außer,Sie,Mit,Am,Es,Ich,Die,Alle,Außer,Dort,Die,Die,In,In,Beträchtliche,Er,Wir,In,Walter,Im,Außer,Dort,Bei,Nicht,In,Wir,Beträchtliche,Die,In,Außer,Sie,Jugendliche,Als,Ich,Ich,Ihr,Sie,Die,Am,100,Er,Sie,Viele,Das,Es,100,Bei,Er,Man,Die,Der,In,Die,Nicht,Er,Die,Wir,Die,Jetzt,Unter,Wir,Wir,Die,Wir,Die,Viele,Die,Fernab,Die,Jungtiere,Sie,Die,Danach,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,space,1.14063191414,space,1.03517794609,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,der,es,Schule,Lösung,verbrauchen,dieser,Kreditnehmer,waren,wurden,machte,Schuhe,den,den,müden,Stücke,konnten,stellt,Eislaufbahnen,Fernrohr,hat,hatten,unserer,Formen,mussten,haben,dem,verlassen,dieser,äußersten,wurden,nehme,"Uhr,",Betten,den,türmen,Uhr,Autos,der,meinem,Stücke,stellt,übergaben,diesem,Scheel,Fernrohr,das,türmen,der,ein,einer,hatten,Stücke,Gäste,der,dem,verbrauchen,können,die,nehme,wurde,Blutdruck,hatte,Autos,äußeren,g,hat,verlassen,Tonnen,Tuch,waren,g,unserer,wurde,machte,Schuhe,Flug,meinem,Linie,ein,wurde,Kinder,haben,Schule,ist,keinen,mussten,übergaben,Teilnehmerinnen,haben,Kinder,Tonnen,Uhr,des,Gäste,sollten,hatte,Uhr,wurde,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,space,0.923320055008,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,Feier,"regnete,",verbraucht,wird,60,Methode,sind,nur,Eimer,mal,in,Kakao,Kakao,Teilnehmer,wurden,dann,die,wurden,sahen,uns,in,Ankunft,wurden,uns,die,Bürgermeister,wegen,Methode,Rand,Eimer,eine,die,wurden,Bürgermeister,sich,schlug,beider,Tat,Studium,saftigen,die,dem,Zirkus,war,sahen,Essen,sich,Feier,Tropfen,Studie,in,saftiges,suchen,Tat,Essen,60,Kleidung,Sonne,eine,damals,kann,keine,beider,Rand,braunen,ein,wegen,gebrauchte,wurde,nur,brauner,Ankunft,trotz,mal,in,zum,Studium,101,Tropfen,trotz,fuhren,jede,verbraucht,genau,Umständen,uns,das,wussten,jede,fuhren,gebrauchter,schlug,Rummels,suchen,immer,keine,war,die,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,space,0.620834112167,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,gedachte,hat,260.000,mit,Liter,kann,mit,kleinere,rote,wieder,Größe,gehören,gehören,wurden,aus,mit,Masse,mit,wir,die,Dänemark,stand,unter,durch,Erlebnisse,beschuldigten,des,kann,der,roter,große,er,mit,beschuldigten,Berge,"sporadisch,",beteiligten,wissen,las,Fleischs,Masse,Mann,werden,der,wir,kann,Berge,gedachte,königlichen,wurde,Dänemark,Fleisch,die,wissen,kann,Liter,bei,"unterging,",große,schnell,schon,Lust,beteiligter,der,Zuckers,Hemd,dem,Kleidung,dann,kleinere,Zucker,stand,des,wieder,Größe,Mond,habe,hält,königliches,dem,mit,Menge,260.000,die,können,durch,Auto,überwiegend,Menge,mit,Kleidung,"sporadisch,",wurde,die,auf,Lust,aus,Leinwand,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,space,0.517737865448,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,man,uns,Kilowattstunden,"reichlichem,",sprudelndes,man,"sämtlichem,","Delikte,",Farbe,viel,36,immer,immer,mit,"wertvollem,","minimalem,",mit,dauerhaftem,den,Stimmung,gelegentlich,ein,"regelmäßigem,",Büschel,bei,die,schönen,man,Stadt,Farbe,Packung,"trug,","üblichem,",die,schmutziger,obwohl,Fahrer,wir,ich,wurden,mit,das,die,vierte,den,ich,schmutzige,man,Bluts,jetzt,einen,wurden,Wohnung,wir,ich,sprudelnden,ausreichendem,war,Packung,dank,bei,auf,Fahrer,Stadt,sind,aus,schönen,landen,mit,"Delikte,",sind,ein,bekannten,viel,36,dauerte,ich,nicht,Blut,bekannten,solch,alten,Kilowattstunden,richtige,Neuwahlen,Büschel,dem,"nicht,",alten,solchen,landen,obschon,schon,Wohnung,warmem,auf,"Japan,",aus,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,space,0.844382047653,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,den,die,elektrischer,purem,Trinkwasser.,eine,künftigem,deren,geschleudert.,Lärm,hätten,350,350,zusätzlichem,klassischen,sauberen,einem,feinem,roten,ziemlich,einen,Glas,kaltem,frischen,"frischem,",Störenfriede,Wetters,eine,liegen,geschleudert.,salziger,war,harten,Störenfriede,Wäsche.,sie,wurden,um,mehr,serviert.,einem,Auto,Tiere,Bundespräsident.,roten,leider,Wäsche.,der,hat,"nachgewiesen,",gelegentlichen,serviert.,des,von,leider,Trinkwassers.,monatlichem,die,salzige,täglichem,minimalem,noch,wurden,liegen,auf,feinem,Wetter,im,"reichem,",derer,auf,Glas,Skandals,Lärm,würden,ungefähr,mehr,am,hat,Skandal,unzureichenden,Krams,elektrische,"Zeit,",vor,frisches,Mann,was,Kram,unzureichenden,im,sie,immer,des,weichem,noch,die,seltenem,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,space,0.915562868118,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,Soldaten,Stimmung,Energie.,Alkohol,nan,große,Einkommen,sie,nan,um,seiner,ml,ml,schwarzem,Schmuck,Kraftstoff,Esslöffel,Kunsteis,Planeten,"vermiest,",Besucher.,köstlicher,Abduschen,Grases,kaltem,jeden.,die,große,die,nan,Wurst,aus,Schaumstoff,jeden.,nan,defekt,verschrottet.,die,als,nan,Esslöffel,mehr,artgerecht,nan,Planet,nichts,nan,Soldaten,den,dass,Besucher.,nan,Herrn,den,nichts,nan,Taschengeld,Flut,Wurst,grünen,täglichen,eine,verschrottet.,die,jeden,dichten,die,Müll.,goldenen,sie,jeden,köstlichen,wiedergewählt.,um,seiner,drei,als,Hauptbahnhof.,den,wiedergewählt.,Helmen,aus,Energie.,um,Dezember,Gras,mehr,Tupperware,aus,Helmen,Müll.,defekt,ruhig,Herrn,Untergrund,eine,er,dichten,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,space,1.12439608574,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,des,ziemlich,nan,verdünnt.,nan,Menge,haftbar.,überführt,nan,jede,Frau,warmer,warme,Kaffee,umgearbeitet.,fahren.,warmen,eingesprüht.,ganz,dass,nan,Wein,gehärtet.,zwängen.,Saft,nan,Wohnung.,Menge,Slums.,nan,mit,Japan.,gefertigt.,nan,nan,war.,nan,Probleme,einmal,nan,warmem,als,gehalten.,nan,ganz,mitbringen.,nan,des,Boden,das,nan,nan,Gantenbeins.,Problemen,mitbringen.,nan,selber,zurückgekehrt.,mit,Tee,Einsatz,Sammlung,nan,Slums.,Fall,Stoff,Wohnung.,nan,Besatz,überführt,Fall,Weins,nan,jede,Frau,Tage.,einmal,nan,Boden,nan,zur,dem,nan,Nadelhölzer,stattfinden.,zwängen.,als,ist.,dem,zur,nan,war.,diskutiert.,Gantenbein.,liegen.,Sammlung,trug.,Gewebe,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,space,0.984699010849,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,None,j,12.0166068077,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,Bei,Dass,Die,Die,Sie,Mit,Manche,Es,Es,Man,Die,In,In,Die,Die,Wir,Er,Die,Im,Es,Wir,Bei,Die,Wir,Sie,Außer,Sie,Mit,Am,Es,Ich,Die,Alle,Außer,Dort,Die,Die,In,In,Beträchtliche,Er,Wir,In,Walter,Im,Außer,Dort,Bei,Nicht,In,Wir,Beträchtliche,Die,In,Außer,Sie,Jugendliche,Als,Ich,Ich,Ihr,Sie,Die,Am,100,Er,Sie,Viele,Das,Es,100,Bei,Er,Man,Die,Der,In,Die,Nicht,Er,Die,Wir,Die,Jetzt,Unter,Wir,Wir,Die,Wir,Die,Viele,Die,Fernab,Die,Jungtiere,Sie,Die,Danach,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,space,0.687234163284,space,0.437615156174,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,der,es,Schule,Lösung,verbrauchen,dieser,Kreditnehmer,waren,wurden,machte,Schuhe,den,den,müden,Stücke,konnten,stellt,Eislaufbahnen,Fernrohr,hat,hatten,unserer,Formen,mussten,haben,dem,verlassen,dieser,äußersten,wurden,nehme,"Uhr,",Betten,den,türmen,Uhr,Autos,der,meinem,Stücke,stellt,übergaben,diesem,Scheel,Fernrohr,das,türmen,der,ein,einer,hatten,Stücke,Gäste,der,dem,verbrauchen,können,die,nehme,wurde,Blutdruck,hatte,Autos,äußeren,g,hat,verlassen,Tonnen,Tuch,waren,g,unserer,wurde,machte,Schuhe,Flug,meinem,Linie,ein,wurde,Kinder,haben,Schule,ist,keinen,mussten,übergaben,Teilnehmerinnen,haben,Kinder,Tonnen,Uhr,des,Gäste,sollten,hatte,Uhr,wurde,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,space,0.614782094955,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,Feier,"regnete,",verbraucht,wird,60,Methode,sind,nur,Eimer,mal,in,Kakao,Kakao,Teilnehmer,wurden,dann,die,wurden,sahen,uns,in,Ankunft,wurden,uns,die,Bürgermeister,wegen,Methode,Rand,Eimer,eine,die,wurden,Bürgermeister,sich,schlug,beider,Tat,Studium,saftigen,die,dem,Zirkus,war,sahen,Essen,sich,Feier,Tropfen,Studie,in,saftiges,suchen,Tat,Essen,60,Kleidung,Sonne,eine,damals,kann,keine,beider,Rand,braunen,ein,wegen,gebrauchte,wurde,nur,brauner,Ankunft,trotz,mal,in,zum,Studium,101,Tropfen,trotz,fuhren,jede,verbraucht,genau,Umständen,uns,das,wussten,jede,fuhren,gebrauchter,schlug,Rummels,suchen,immer,keine,war,die,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,space,0.849641084671,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,gedachte,hat,260.000,mit,Liter,kann,mit,kleinere,rote,wieder,Größe,gehören,gehören,wurden,aus,mit,Masse,mit,wir,die,Dänemark,stand,unter,durch,Erlebnisse,beschuldigten,des,kann,der,roter,große,er,mit,beschuldigten,Berge,"sporadisch,",beteiligten,wissen,las,Fleischs,Masse,Mann,werden,der,wir,kann,Berge,gedachte,königlichen,wurde,Dänemark,Fleisch,die,wissen,kann,Liter,bei,"unterging,",große,schnell,schon,Lust,beteiligter,der,Zuckers,Hemd,dem,Kleidung,dann,kleinere,Zucker,stand,des,wieder,Größe,Mond,habe,hält,königliches,dem,mit,Menge,260.000,die,können,durch,Auto,überwiegend,Menge,mit,Kleidung,"sporadisch,",wurde,die,auf,Lust,aus,Leinwand,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,space,0.648515939713,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,man,uns,Kilowattstunden,"reichlichem,",sprudelndes,man,"sämtlichem,","Delikte,",Farbe,viel,36,immer,immer,mit,"wertvollem,","minimalem,",mit,dauerhaftem,den,Stimmung,gelegentlich,ein,"regelmäßigem,",Büschel,bei,die,schönen,man,Stadt,Farbe,Packung,"trug,","üblichem,",die,schmutziger,obwohl,Fahrer,wir,ich,wurden,mit,das,die,vierte,den,ich,schmutzige,man,Bluts,jetzt,einen,wurden,Wohnung,wir,ich,sprudelnden,ausreichendem,war,Packung,dank,bei,auf,Fahrer,Stadt,sind,aus,schönen,landen,mit,"Delikte,",sind,ein,bekannten,viel,36,dauerte,ich,nicht,Blut,bekannten,solch,alten,Kilowattstunden,richtige,Neuwahlen,Büschel,dem,"nicht,",alten,solchen,landen,obschon,schon,Wohnung,warmem,auf,"Japan,",aus,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,space,0.628941059113,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,den,die,elektrischer,purem,Trinkwasser.,eine,künftigem,deren,geschleudert.,Lärm,hätten,350,350,zusätzlichem,klassischen,sauberen,einem,feinem,roten,ziemlich,einen,Glas,kaltem,frischen,"frischem,",Störenfriede,Wetters,eine,liegen,geschleudert.,salziger,war,harten,Störenfriede,Wäsche.,sie,wurden,um,mehr,serviert.,einem,Auto,Tiere,Bundespräsident.,roten,leider,Wäsche.,der,hat,"nachgewiesen,",gelegentlichen,serviert.,des,von,leider,Trinkwassers.,monatlichem,die,salzige,täglichem,minimalem,noch,wurden,liegen,auf,feinem,Wetter,im,"reichem,",derer,auf,Glas,Skandals,Lärm,würden,ungefähr,mehr,am,hat,Skandal,unzureichenden,Krams,elektrische,"Zeit,",vor,frisches,Mann,was,Kram,unzureichenden,im,sie,immer,des,weichem,noch,die,seltenem,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,space,0.553874015808,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,Soldaten,Stimmung,Energie.,Alkohol,nan,große,Einkommen,sie,nan,um,seiner,ml,ml,schwarzem,Schmuck,Kraftstoff,Esslöffel,Kunsteis,Planeten,"vermiest,",Besucher.,köstlicher,Abduschen,Grases,kaltem,jeden.,die,große,die,nan,Wurst,aus,Schaumstoff,jeden.,nan,defekt,verschrottet.,die,als,nan,Esslöffel,mehr,artgerecht,nan,Planet,nichts,nan,Soldaten,den,dass,Besucher.,nan,Herrn,den,nichts,nan,Taschengeld,Flut,Wurst,grünen,täglichen,eine,verschrottet.,die,jeden,dichten,die,Müll.,goldenen,sie,jeden,köstlichen,wiedergewählt.,um,seiner,drei,als,Hauptbahnhof.,den,wiedergewählt.,Helmen,aus,Energie.,um,Dezember,Gras,mehr,Tupperware,aus,Helmen,Müll.,defekt,ruhig,Herrn,Untergrund,eine,er,dichten,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,6,6,6,,,,,,,,space,0.637875080109,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,des,ziemlich,nan,verdünnt.,nan,Menge,haftbar.,überführt,nan,jede,Frau,warmer,warme,Kaffee,umgearbeitet.,fahren.,warmen,eingesprüht.,ganz,dass,nan,Wein,gehärtet.,zwängen.,Saft,nan,Wohnung.,Menge,Slums.,nan,mit,Japan.,gefertigt.,nan,nan,war.,nan,Probleme,einmal,nan,warmem,als,gehalten.,nan,ganz,mitbringen.,nan,des,Boden,das,nan,nan,Gantenbeins.,Problemen,mitbringen.,nan,selber,zurückgekehrt.,mit,Tee,Einsatz,Sammlung,nan,Slums.,Fall,Stoff,Wohnung.,nan,Besatz,überführt,Fall,Weins,nan,jede,Frau,Tage.,einmal,nan,Boden,nan,zur,dem,nan,Nadelhölzer,stattfinden.,zwängen.,als,ist.,dem,zur,nan,war.,diskutiert.,Gantenbein.,liegen.,Sammlung,trug.,Gewebe,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,space,0.584657907486,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
,zweiten,vermiest.,nan,nan,nan,dunkler,nan,wurden.,nan,Menge,gepasst.,Milch.,Milch.,wiederbelebt.,nan,nan,Honigs,nan,deutlich.,es,nan,schon,nan,nan,besprochen.,nan,nan,dunkle,nan,nan,an,nan,nan,nan,nan,nan,nan,im,Rilke.,nan,Honig,gerne.,nan,nan,deutlich.,nan,nan,zweiten,berührt.,Medikament,nan,nan,nan,im,nan,nan,kaufen.,nan,an,wieder,sinken.,dummer,nan,nan,genug.,gefertigt.,nan,nan,rekonstruiert.,wurden.,genug.,schon,nan,Menge,gepasst,nan,Rilke,nan,berührt.,nan,Schule.,Haus,nan,umzusetzen.,nan,nan,gerne.,nan,Haus,Schule.,nan,nan,nan,nan,nan,dumme,nan,wiederhergestellt.,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,8,8,8,,,,,,,,space,0.436773061752,,,,2017_Feb_01_1635,59.8723557936,spr_backupper,001,Mi12,
